concurso;data;j1;j2;j3;j4;j5;j6;j7;j8;j9;j10;j11;j12;j13;j14;ganhadores_14;rateio_14;ganhadores_13;rateio_13;acumulado
79;2003-08-25;;;;;;;;;;;;;;;838;120902.0;13357;938.0;não
80;2003-09-01;;;;;;;;;;;;;;;0;0.0;24;34873.0;sim
81;2003-09-08;;;;;;;;;;;;;;;0;0.0;2;3255491.0;sim
82;2003-09-15;;;;;;;;;;;;;;;45;2024419.0;2017;5506.0;não
83;2003-09-22;;;;;;;;;;;;;;;0;0.0;37;219222.0;sim
84;2003-09-29;;;;;;;;;;;;;;;100;620672.0;2451;3912.0;não
85;2003-10-06;;;;;;;;;;;;;;;0;0.0;12;62258.0;sim
86;2003-10-13;;;;;;;;;;;;;;;0;0.0;5;147427.0;sim
87;2003-10-20;;;;;;;;;;;;;;;6;15066566.0;225;48642.0;não
88;2003-10-27;;;;;;;;;;;;;;;0;0.0;5;1521926.0;sim
89;2003-11-03;;;;;;;;;;;;;;;4;13942925.0;116;71497.0;não
90;2003-11-10;;;;;;;;;;;;;;;7;3404644.0;264;19272.0;não
91;2003-11-24;;;;;;;;;;;;;;;84;304598.0;2536;2154.0;não
92;2003-12-01;;;;;;;;;;;;;;;45;434725.0;1068;3911.0;não
93;2003-12-08;;;;;;;;;;;;;;;0;0.0;1;3703688.0;sim
94;2003-12-15;;;;;;;;;;;;;;;14;2866825.0;640;7622.0;não
95;2004-01-05;;;;;;;;;;;;;;;0;0.0;6;403632.0;sim
96;2004-01-12;;;;;;;;;;;;;;;7;7081772.0;412;7715.0;não
97;2004-01-26;;;;;;;;;;;;;;;2;9692335.0;144;28737.0;não
98;2004-02-02;;;;;;;;;;;;;;;0;0.0;45;69779.0;sim
99;2004-02-09;;;;;;;;;;;;;;;3;11317501.0;72;57054.0;não
100;2004-02-16;;;;;;;;;;;;;;;1;36155726.0;48;85331.0;não
101;2004-02-25;;;;;;;;;;;;;;;2887;718.0;33721;132.0;não
102;2004-03-01;;;;;;;;;;;;;;;18;935648.0;553;6502.0;não
103;2004-03-08;;;;;;;;;;;;;;;13;1571218.0;611;7137.0;não
104;2004-03-15;;;;;;;;;;;;;;;1;19395031.0;98;42248.0;não
105;2004-03-22;;;;;;;;;;;;;;;315;141014.0;6363;796.0;não
106;2004-03-29;;;;;;;;;;;;;;;18;1115023.0;991;4324.0;não
107;2004-04-05;;;;;;;;;;;;;;;0;0.0;17;243394.0;sim
108;2004-04-12;;;;;;;;;;;;;;;141;240994.0;2160;1451.0;não
109;2004-04-19;;;;;;;;;;;;;;;1;14216571.0;18;169245.0;não
110;2004-04-26;;;;;;;;;;;;;;;0;0.0;3;1431682.0;sim
111;2004-05-03;;;;;;;;;;;;;;;27;2258546.0;670;6763.0;não
112;2004-05-10;;;;;;;;;;;;;;;0;0.0;20;21605.0;sim
113;2004-05-17;;;;;;;;;;;;;;;0;0.0;8;601162.0;sim
114;2004-05-24;;;;;;;;;;;;;;;0;0.0;1;5357039.0;sim
115;2004-05-31;;;;;;;;;;;;;;;1;125694971.0;14;531992.0;não
116;2004-06-07;;;;;;;;;;;;;;;15;757524.0;555;4371.0;não
117;2004-06-14;;;;;;;;;;;;;;;0;0.0;12;320449.0;sim
118;2004-06-21;;;;;;;;;;;;;;;0;0.0;4;1096532.0;sim
119;2004-06-28;;;;;;;;;;;;;;;0;0.0;12;38758.0;sim
120;2004-07-05;;;;;;;;;;;;;;;2;59412588.0;48;160454.0;não
121;2004-07-12;;;;;;;;;;;;;;;202;91733.0;3135;1263.0;não
122;2004-07-19;;;;;;;;;;;;;;;3;718750.0;105;43838.0;não
123;2004-07-26;;;;;;;;;;;;;;;0;0.0;35;121145.0;sim
124;2004-08-02;;;;;;;;;;;;;;;1;43283912.0;10;503506.0;não
125;2004-08-09;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
126;2004-08-16;;;;;;;;;;;;;;;0;0.0;57;10820.0;sim
127;2004-08-23;;;;;;;;;;;;;;;1;12212445.0;91;91365.0;não
128;2004-08-30;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
129;2004-09-06;;;;;;;;;;;;;;;7;5790942.0;163;24475.0;não
130;2004-09-13;;;;;;;;;;;;;;;2;24136011.0;66;67332.0;não
131;2004-09-20;;;;;;;;;;;;;;;0;0.0;35;115572.0;sim
132;2004-09-27;;;;;;;;;;;;;;;53;781666.0;1088;4426.0;não
133;2004-10-04;;;;;;;;;;;;;;;116;179381.0;2556;1739.0;não
134;2004-10-11;;;;;;;;;;;;;;;3;3652245.0;98;23867.0;não
135;2004-10-18;;;;;;;;;;;;;;;10;4307123.0;275;17797.0;não
136;2004-10-25;;;;;;;;;;;;;;;0;0.0;2;1798786.0;sim
137;2004-11-01;;;;;;;;;;;;;;;1;37969124.0;33;137536.0;não
138;2004-11-08;;;;;;;;;;;;;;;105;182259.0;2159;1893.0;não
139;2004-11-16;;;;;;;;;;;;;;;1;2029727.0;33;131801.0;não
140;2004-11-22;;;;;;;;;;;;;;;1;46009642.0;76;68847.0;não
141;2004-11-29;;;;;;;;;;;;;;;2;1051297.0;66;68007.0;não
142;2004-12-06;;;;;;;;;;;;;;;20;1159429.0;511;9688.0;não
143;2004-12-13;;;;;;;;;;;;;;;0;0.0;31;152561.0;sim
144;2004-12-20;;;;;;;;;;;;;;;0;0.0;18;338695.0;sim
145;2005-01-10;;;;;;;;;;;;;;;0;0.0;23;204788.0;sim
146;2005-01-17;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
147;2005-01-24;;;;;;;;;;;;;;;64;2645855.0;1953;4342.0;não
148;2005-01-31;;;;;;;;;;;;;;;0;0.0;12;377067.0;sim
149;2005-02-09;;;;;;;;;;;;;;;7;6233465.0;220;21851.0;não
150;2005-02-14;;;;;;;;;;;;;;;5;10032755.0;149;31552.0;não
151;2005-02-21;;;;;;;;;;;;;;;11;1591156.0;353;10585.0;não
152;2005-03-01;;;;;;;;;;;;;;;10;1798048.0;323;11883.0;não
153;2005-03-07;;;;;;;;;;;;;;;0;0.0;1;4377487.0;sim
